Title,URL,Primary,Secondary
Covid-19 Time Off Policy,https://policies.sample.com/Covid-19 Time Off Policy,True,False
What to do if you have Covid-19,https://policies.sample.com/What to do if you have Covid-19,False,True
Time-Off for Covid-19 Illness,https://policies.sample.com/Time-Off for Covid-19 Illness,False,True
Remote Work Policy,https://policies.sample.com/Remote Work Policy,True,False
Working from Home Guidelines,https://policies.sample.com/Working from Home Guidelines,False,True
Remote Work Expectations and Rules,https://policies.sample.com/Remote Work Expectations and Rules,False,True
Hybrid Work Guidelines,https://policies.sample.com/Hybrid Work Guidelines,True,False
Hybrid Schedule Standards,https://policies.sample.com/Hybrid Schedule Standards,False,True
Flexible Office and Home Work Guide,https://policies.sample.com/Flexible Office and Home Work Guide,False,True
Business Travel Policy,https://policies.sample.com/Business Travel Policy,True,False
Travel Booking and Approval Guide,https://policies.sample.com/Travel Booking and Approval Guide,False,True
Travel Rules and Reimbursement Procedure,https://policies.sample.com/Travel Rules and Reimbursement Procedure,False,True
Expense Reimbursement Policy,https://policies.sample.com/Expense Reimbursement Policy,True,False
How to Submit Expenses,https://policies.sample.com/How to Submit Expenses,False,True
Expense Receipt and Approval Guidelines,https://policies.sample.com/Expense Receipt and Approval Guidelines,False,True
Corporate Credit Card Policy,https://policies.sample.com/Corporate Credit Card Policy,True,False
Company Card Usage Rules,https://policies.sample.com/Company Card Usage Rules,False,True
Card Reconciliation and Limits Guide,https://policies.sample.com/Card Reconciliation and Limits Guide,False,True
Timekeeping and Attendance Policy,https://policies.sample.com/Timekeeping and Attendance Policy,True,False
Recording Time and Attendance Guide,https://policies.sample.com/Recording Time and Attendance Guide,False,True
Attendance Expectations and Procedures,https://policies.sample.com/Attendance Expectations and Procedures,False,True
Paid Time Off Policy,https://policies.sample.com/Paid Time Off Policy,True,False
PTO Request and Approval Guide,https://policies.sample.com/PTO Request and Approval Guide,False,True
Vacation and Sick Leave Rules,https://policies.sample.com/Vacation and Sick Leave Rules,False,True
Family and Medical Leave Policy,https://policies.sample.com/Family and Medical Leave Policy,True,False
FMLA Leave Guidelines,https://policies.sample.com/FMLA Leave Guidelines,False,True
Parental and Caregiver Leave Guide,https://policies.sample.com/Parental and Caregiver Leave Guide,False,True
Overtime and Compensation Policy,https://policies.sample.com/Overtime and Compensation Policy,True,False
Overtime Eligibility and Approval Guide,https://policies.sample.com/Overtime Eligibility and Approval Guide,False,True
After Hours Work and Pay Rules,https://policies.sample.com/After Hours Work and Pay Rules,False,True
Employee Code of Conduct,https://policies.sample.com/Employee Code of Conduct,True,False
Standards of Behavior Guide,https://policies.sample.com/Standards of Behavior Guide,False,True
Workplace Ethics and Conduct,https://policies.sample.com/Workplace Ethics and Conduct,False,True
Anti Harassment Policy,https://policies.sample.com/Anti Harassment Policy,True,False
Preventing Harassment and Bullying,https://policies.sample.com/Preventing Harassment and Bullying,False,True
Reporting Harassment Procedures,https://policies.sample.com/Reporting Harassment Procedures,False,True
Equal Employment Opportunity Policy,https://policies.sample.com/Equal Employment Opportunity Policy,True,False
EEO Guidelines and Practices,https://policies.sample.com/EEO Guidelines and Practices,False,True
Non Discrimination Standards,https://policies.sample.com/Non Discrimination Standards,False,True
Diversity and Inclusion Policy,https://policies.sample.com/Diversity and Inclusion Policy,True,False
Building an Inclusive Workplace,https://policies.sample.com/Building an Inclusive Workplace,False,True
Inclusion and Belonging Guidelines,https://policies.sample.com/Inclusion and Belonging Guidelines,False,True
Workplace Accommodations Policy,https://policies.sample.com/Workplace Accommodations Policy,True,False
Requesting Reasonable Accommodations,https://policies.sample.com/Requesting Reasonable Accommodations,False,True
ADA Accommodation Procedures,https://policies.sample.com/ADA Accommodation Procedures,False,True
Dress Code Policy,https://policies.sample.com/Dress Code Policy,True,False
Work Attire Guidelines,https://policies.sample.com/Work Attire Guidelines,False,True
Professional Appearance Standards,https://policies.sample.com/Professional Appearance Standards,False,True
Workplace Violence Prevention Policy,https://policies.sample.com/Workplace Violence Prevention Policy,True,False
Violence Prevention and Reporting,https://policies.sample.com/Violence Prevention and Reporting,False,True
Safety and Threat Response Guide,https://policies.sample.com/Safety and Threat Response Guide,False,True
Drug and Alcohol Free Workplace Policy,https://policies.sample.com/Drug and Alcohol Free Workplace Policy,True,False
Substance Use and Testing Guidelines,https://policies.sample.com/Substance Use and Testing Guidelines,False,True
Alcohol and Drug Rules at Work,https://policies.sample.com/Alcohol and Drug Rules at Work,False,True
Confidentiality and Non Disclosure Policy,https://policies.sample.com/Confidentiality and Non Disclosure Policy,True,False
Protecting Company Confidential Information,https://policies.sample.com/Protecting Company Confidential Information,False,True
NDA Usage and Responsibilities,https://policies.sample.com/NDA Usage and Responsibilities,False,True
Conflict of Interest Policy,https://policies.sample.com/Conflict of Interest Policy,True,False
Identifying and Disclosing Conflicts,https://policies.sample.com/Identifying and Disclosing Conflicts,False,True
Personal and Business Conflict Rules,https://policies.sample.com/Personal and Business Conflict Rules,False,True
Gifts and Hospitality Policy,https://policies.sample.com/Gifts and Hospitality Policy,True,False
Gifts Entertainment and Meals Guidance,https://policies.sample.com/Gifts Entertainment and Meals Guidance,False,True
Accepting and Offering Gifts Rules,https://policies.sample.com/Accepting and Offering Gifts Rules,False,True
Anti Bribery and Corruption Policy,https://policies.sample.com/Anti Bribery and Corruption Policy,True,False
Preventing Bribery Guidelines,https://policies.sample.com/Preventing Bribery Guidelines,False,True
Corruption Reporting and Controls,https://policies.sample.com/Corruption Reporting and Controls,False,True
Whistleblower and Non Retaliation Policy,https://policies.sample.com/Whistleblower and Non Retaliation Policy,True,False
Speak Up and Report Concerns Guide,https://policies.sample.com/Speak Up and Report Concerns Guide,False,True
Non Retaliation Standards,https://policies.sample.com/Non Retaliation Standards,False,True
Grievance and Complaint Procedure,https://policies.sample.com/Grievance and Complaint Procedure,True,False
How to File a Workplace Complaint,https://policies.sample.com/How to File a Workplace Complaint,False,True
Issue Resolution and Mediation Guide,https://policies.sample.com/Issue Resolution and Mediation Guide,False,True
Performance Review Policy,https://policies.sample.com/Performance Review Policy,True,False
Performance Feedback and Ratings Guide,https://policies.sample.com/Performance Feedback and Ratings Guide,False,True
Annual Review Process Overview,https://policies.sample.com/Annual Review Process Overview,False,True
Promotion and Advancement Policy,https://policies.sample.com/Promotion and Advancement Policy,True,False
